TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-54-35,0,1,72,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-54-35,0,2,72,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-54-35,0,3,66,584,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"154.446"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"167.184"|"faces":[]}
2026-12-2--13-54-35,0,4,3,784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.434"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"137.318"|"faces":[]}
2026-12-2--13-54-35,0,5,3,1191,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"127.27"|"ms_palm":"67.515"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"200.957"|"faces":[{"id":"1"|"bbox":"(850.979|363.186|87.482|126.109)"|"c":"(894.72|426.24)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-54-35,0,6,3,1599,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"130.358"|"ms_palm":"50.052"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"186.77"|"faces":[{"id":"1"|"bbox":"(858.78|358.739|87.482|122.323)"|"c":"(902.521|419.901)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-54-35,0,7,3,2009,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.021"|"ms_palm":"39.782"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"157.855"|"faces":[{"id":"1"|"bbox":"(853.328|356.216|91.266|128.284)"|"c":"(898.961|420.358)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-54-35,0,8,4,2416,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.625"|"ms_palm":"41.563"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"166.08"|"faces":[{"id":"1"|"bbox":"(860.237|353.02|92.98|120.474)"|"c":"(906.728|413.257)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-54-35,0,9,4,2825,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.797"|"ms_palm":"41.889"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"158.502"|"faces":[{"id":"1"|"bbox":"(859.036|349.227|94.408|126.109)"|"c":"(906.24|412.282)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-54-35,0,10,4,3230,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.977"|"ms_palm":"41.684"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"157.95"|"faces":[{"id":"1"|"bbox":"(859.75|354.483|92.98|120.474)"|"c":"(906.24|414.72)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
