TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-52-51,0,1,72,188,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0"|"faces":[]}
2026-12-2--13-52-51,0,2,72,380,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-52-51,0,3,66,580,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"168.472"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"182.102"|"faces":[]}
2026-12-2--13-52-51,0,4,3,784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.494"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"120.619"|"faces":[]}
2026-12-2--13-52-51,0,5,3,1197,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.844"|"ms_palm":"103.723"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"227.84"|"faces":[{"id":"1"|"bbox":"(863.016|419.596|94.427|121.897)"|"c":"(910.23|480.545)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,6,3,1609,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"127.123"|"ms_palm":"42.129"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"181.159"|"faces":[{"id":"1"|"bbox":"(863.288|418.03|94.427|126.119)"|"c":"(910.502|481.09)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,7,3,2023,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.376"|"ms_palm":"45.739"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"168.492"|"faces":[{"id":"1"|"bbox":"(863.295|421.707|96.048|126.119)"|"c":"(911.319|484.767)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,8,3,2431,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"113.841"|"ms_palm":"44.636"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"164.133"|"faces":[{"id":"1"|"bbox":"(860.227|415.997|89.726|123.99)"|"c":"(905.09|477.992)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,9,3,2845,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.661"|"ms_palm":"39.322"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"166.572"|"faces":[{"id":"1"|"bbox":"(856.081|404.277|88.211|121.897)"|"c":"(900.187|465.226)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,10,3,3255,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"130.559"|"ms_palm":"40.287"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"175.383"|"faces":[{"id":"1"|"bbox":"(857.342|405.399|88.211|132.727)"|"c":"(901.447|471.763)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-52-51,0,11,3,3665,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.111"|"ms_palm":"44.898"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"151.182"|"faces":[{"id":"1"|"bbox":"(856.342|408.846|87.482|128.045)"|"c":"(900.083|472.868)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
