TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-19-30,0,1,59,203,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.756"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"101.119"|"faces":[]}
2026-08-2--19-19-30,0,2,59,403,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.251"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.677"|"faces":[]}
2026-08-2--19-19-30,0,3,57,601,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"78.786"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"86.402"|"faces":[]}
2026-08-2--19-19-30,0,4,8,799,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.623"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.115"|"faces":[]}
2026-08-2--19-19-30,0,5,4,997,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.283"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.853"|"faces":[]}
2026-08-2--19-19-30,0,6,5,1199,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.934"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"67.967"|"faces":[]}
2026-08-2--19-19-30,0,7,5,1396,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"73.984"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.76"|"faces":[]}
2026-08-2--19-19-30,0,8,6,1594,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.346"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.644"|"faces":[]}
2026-08-2--19-19-30,0,9,7,1792,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"78.805"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"83.249"|"faces":[]}
2026-08-2--19-19-30,0,10,7,1994,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.785"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"78.289"|"faces":[]}
2026-08-2--19-19-30,0,11,7,2192,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"74.683"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.958"|"faces":[]}
2026-08-2--19-19-30,0,12,8,2389,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.37"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"66.483"|"faces":[]}
2026-08-2--19-19-30,0,13,8,2587,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.157"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.375"|"faces":[]}
2026-08-2--19-19-30,0,14,9,2785,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.358"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.585"|"faces":[]}
2026-08-2--19-19-30,0,15,9,2983,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"75.321"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.656"|"faces":[]}
2026-08-2--19-19-30,0,16,9,3181,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"69.974"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"71.326"|"faces":[]}
2026-08-2--19-19-30,0,17,9,3379,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.172"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.474"|"faces":[]}
2026-08-2--19-19-30,0,18,10,3577,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.273"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.631"|"faces":[]}
2026-08-2--19-19-30,0,19,10,3774,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"69.004"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.17"|"faces":[]}
2026-08-2--19-19-30,0,20,10,3972,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"77.081"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"78.218"|"faces":[]}
2026-08-2--19-19-30,0,21,10,4170,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.246"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.482"|"faces":[]}
2026-08-2--19-19-30,0,22,10,4368,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.148"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.396"|"faces":[]}
2026-08-2--19-19-30,0,23,10,4566,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.975"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.235"|"faces":[]}
2026-08-2--19-19-30,0,24,11,4764,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.136"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"69.412"|"faces":[]}
2026-08-2--19-19-30,0,25,11,4961,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.74"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"69.926"|"faces":[]}
2026-08-2--19-19-30,0,26,11,5159,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"81.031"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"82.357"|"faces":[]}
