TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-21-55,0,1,59,203,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.657"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"102.913"|"faces":[]}
2026-08-2--19-21-55,0,2,59,403,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.453"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"112.985"|"faces":[]}
2026-08-2--19-21-55,0,3,57,600,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.083"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.5"|"faces":[]}
2026-08-2--19-21-55,0,4,7,803,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"94.474"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"100.245"|"faces":[]}
2026-08-2--19-21-55,0,5,4,1001,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.111"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"66.947"|"faces":[]}
2026-08-2--19-21-55,0,6,5,1199,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.248"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.321"|"faces":[]}
2026-08-2--19-21-55,0,7,6,1397,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.803"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"77.221"|"faces":[]}
2026-08-2--19-21-55,0,8,6,1594,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"74.251"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"78.76"|"faces":[]}
2026-08-2--19-21-55,0,9,7,1792,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"81.219"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"82.598"|"faces":[]}
2026-08-2--19-21-55,0,10,7,1988,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.712"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.3"|"faces":[]}
2026-08-2--19-21-55,0,11,7,2186,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.453"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.381"|"faces":[]}
2026-08-2--19-21-55,0,12,8,2383,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.91"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.172"|"faces":[]}
2026-08-2--19-21-55,0,13,8,2581,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.345"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"69.588"|"faces":[]}
