TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-34-08,0,21,8,4180,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.829"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.04"|"faces":[]}
2026-08-2--19-34-08,0,22,8,4378,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.516"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.706"|"faces":[]}
2026-08-2--19-34-08,0,23,8,4577,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.962"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.114"|"faces":[]}
2026-08-2--19-34-08,0,24,8,4777,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.614"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"106.059"|"faces":[]}
2026-08-2--19-34-08,0,25,8,4977,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.626"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"106.532"|"faces":[]}
2026-08-2--19-34-08,0,26,7,5175,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.153"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.549"|"faces":[]}
2026-08-2--19-34-08,0,27,8,5374,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.702"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"101.805"|"faces":[]}
2026-08-2--19-34-08,0,28,7,5572,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.698"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.958"|"faces":[]}
2026-08-2--19-34-08,0,29,7,5772,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"106.419"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"108.445"|"faces":[]}
2026-08-2--19-34-08,0,30,7,6180,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.352"|"ms_palm":"82.391"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"183.544"|"faces":[{"id":"1"|"bbox":"(716.59|330.697|94.408|130.011)"|"c":"(763.794|395.703)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,31,6,6590,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.823"|"ms_palm":"54.683"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"158.933"|"faces":[{"id":"1"|"bbox":"(724.882|337.896|97.329|136.092)"|"c":"(773.546|405.943)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,32,6,7000,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.113"|"ms_palm":"53.172"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"155.611"|"faces":[{"id":"1"|"bbox":"(723.419|336.364|97.329|138.182)"|"c":"(772.083|405.455)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,33,6,7409,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.852"|"ms_palm":"60.743"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"156.029"|"faces":[{"id":"1"|"bbox":"(724.394|338.872|97.329|136.092)"|"c":"(773.059|406.918)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,34,6,7817,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.832"|"ms_palm":"55.947"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"155.071"|"faces":[{"id":"1"|"bbox":"(725.617|338.384|95.857|136.092)"|"c":"(773.546|406.43)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,35,5,8226,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.748"|"ms_palm":"53.786"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"160.85"|"faces":[{"id":"1"|"bbox":"(726.105|336.975|95.857|134.034)"|"c":"(774.034|403.992)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,36,5,8635,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.018"|"ms_palm":"54.443"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"159.18"|"faces":[{"id":"1"|"bbox":"(722.931|333.438|97.329|138.182)"|"c":"(771.596|402.529)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,37,5,9044,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.384"|"ms_palm":"55.547"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"157.463"|"faces":[{"id":"1"|"bbox":"(725.13|335.946|95.857|136.092)"|"c":"(773.059|403.992)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,38,5,9454,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.738"|"ms_palm":"70.389"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"179.768"|"faces":[{"id":"1"|"bbox":"(722.931|334.483|97.329|136.092)"|"c":"(771.596|402.529)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,39,5,9862,False,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"102.83"|"ms_palm":"58.255"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"162.41"|"faces":[{"id":"1"|"bbox":"(722.204|334.971|95.857|136.092)"|"c":"(770.133|403.017)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,0,40,5,10269,False,True,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.753"|"ms_palm":"64.8"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"158.752"|"faces":[{"id":"1"|"bbox":"(721.717|334.971|95.857|136.092)"|"c":"(769.645|403.017)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,184,41,5,10679,False,True,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.945"|"ms_palm":"60.742"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"162.938"|"faces":[{"id":"1"|"bbox":"(726.105|336.487|95.857|134.034)"|"c":"(774.034|403.505)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-08-2--19-34-08,383,42,5,11087,False,True,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.988"|"ms_palm":"63.691"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"155.898"|"faces":[{"id":"1"|"bbox":"(723.906|336.278|97.329|140.304)"|"c":"(772.571|406.43)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
