TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-54-07,0,18,8,3593,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.906"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.819"|"faces":[]}
2026-12-2--19-54-07,0,19,8,3793,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.527"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"115.784"|"faces":[]}
2026-12-2--19-54-07,0,20,7,3991,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.145"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.258"|"faces":[]}
2026-12-2--19-54-07,0,21,7,4190,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.002"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"100.238"|"faces":[]}
2026-12-2--19-54-07,0,22,7,4388,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"81.719"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"85.235"|"faces":[]}
2026-12-2--19-54-07,0,23,7,4586,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"78.892"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.598"|"faces":[]}
2026-12-2--19-54-07,0,24,8,4784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.455"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"96.956"|"faces":[]}
2026-12-2--19-54-07,0,25,8,4982,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"80.894"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"88.834"|"faces":[]}
2026-12-2--19-54-07,0,26,8,5180,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.959"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.834"|"faces":[]}
2026-12-2--19-54-07,0,27,8,5377,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"84.59"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"91.055"|"faces":[]}
2026-12-2--19-54-07,0,28,8,5576,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.916"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.917"|"faces":[]}
2026-12-2--19-54-07,0,29,8,5776,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"124.274"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.561"|"faces":[]}
2026-12-2--19-54-07,0,30,7,5974,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"97.69"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"105.725"|"faces":[]}
2026-12-2--19-54-07,0,31,7,6172,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"83.499"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"90.787"|"faces":[]}
2026-12-2--19-54-07,0,32,7,6370,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.179"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"96.713"|"faces":[]}
2026-12-2--19-54-07,0,33,7,6568,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.628"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"97.959"|"faces":[]}
2026-12-2--19-54-07,0,34,7,6767,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.501"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.026"|"faces":[]}
2026-12-2--19-54-07,0,35,7,6965,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"105.4"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"109.326"|"faces":[]}
2026-12-2--19-54-07,0,36,7,7165,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.132"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"107.147"|"faces":[]}
2026-12-2--19-54-07,0,37,7,7363,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"96.18"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"102.817"|"faces":[]}
2026-12-2--19-54-07,0,38,7,7561,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"80.371"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"84.006"|"faces":[]}
2026-12-2--19-54-07,0,39,7,7758,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.57"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"93.983"|"faces":[]}
