TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-08-2--19-48-04,0,1,60,202,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.716"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.002"|"ms_total":"94.811"|"faces":[]}
2026-08-2--19-48-04,0,2,60,402,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.297"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.001"|"faces":[]}
2026-08-2--19-48-04,0,3,57,599,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"78.833"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"81.63"|"faces":[]}
2026-08-2--19-48-04,0,4,9,797,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.134"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.603"|"faces":[]}
2026-08-2--19-48-04,0,5,4,995,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.203"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.536"|"faces":[]}
2026-08-2--19-48-04,0,6,5,1193,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.457"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.494"|"faces":[]}
2026-08-2--19-48-04,0,7,6,1395,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.934"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"72.975"|"faces":[]}
2026-08-2--19-48-04,0,8,6,1593,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"77.456"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"81.782"|"faces":[]}
2026-08-2--19-48-04,0,9,7,1791,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.272"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.936"|"faces":[]}
2026-08-2--19-48-04,0,10,7,1989,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"68.934"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"70.243"|"faces":[]}
2026-08-2--19-48-04,0,11,7,2187,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.501"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.919"|"faces":[]}
2026-08-2--19-48-04,0,12,8,2385,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.757"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.191"|"faces":[]}
2026-08-2--19-48-04,0,13,8,2581,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"75.4"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.734"|"faces":[]}
2026-08-2--19-48-04,0,14,8,2778,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.02"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.318"|"faces":[]}
2026-08-2--19-48-04,0,15,9,2976,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"67.045"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"68.355"|"faces":[]}
2026-08-2--19-48-04,0,16,9,3174,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.233"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"77.458"|"faces":[]}
2026-08-2--19-48-04,0,17,9,3372,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"69.557"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.195"|"faces":[]}
2026-08-2--19-48-04,0,18,9,3570,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"74.565"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"76.009"|"faces":[]}
2026-08-2--19-48-04,0,19,9,3768,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"74.102"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"75.475"|"faces":[]}
2026-08-2--19-48-04,0,20,9,3966,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"72.116"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"73.833"|"faces":[]}
2026-08-2--19-48-04,0,21,9,4164,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"70.164"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"74.484"|"faces":[]}
2026-08-2--19-48-04,0,22,9,4362,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"66.401"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"67.851"|"faces":[]}
2026-08-2--19-48-04,0,23,10,4560,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"71.194"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"72.453"|"faces":[]}
2026-08-2--19-48-04,0,24,10,4758,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"76.464"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"77.835"|"faces":[]}
2026-08-2--19-48-04,0,25,10,4956,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"65.413"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"66.608"|"faces":[]}
2026-08-2--19-48-04,0,26,10,5154,False,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"64.439"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"65.928"|"faces":[]}
