TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
17-12-12.2867,71,0,0,True,False,{}
17-12-12.5912,71,0,1,True,False,{}
17-12-12.7289,66,0,2,True,False,{}
17-12-12.7520,8,0,3,True,False,{}
17-12-12.8050,14,0,4,True,False,{}
17-12-12.8285,16,0,5,True,False,{}
17-12-12.9160,20,0,6,True,False,{}
17-12-12.9561,16,0,7,True,False,{}
17-12-13.0126,18,0,8,True,False,{}
17-12-13.0386,18,0,9,True,False,{}
17-12-13.0833,20,0,10,True,False,{}
17-12-13.1060,21,0,11,True,False,{}
17-12-13.1454,24,0,12,True,False,{}
17-12-13.1714,24,0,13,True,False,{}
17-12-13.2171,26,0,14,True,False,{}
17-12-13.2400,25,0,15,True,False,{}
17-12-13.2833,27,0,16,True,False,{}
17-12-13.3104,26,0,17,True,False,{}
17-12-13.3530,28,0,18,True,False,{}
17-12-13.3778,27,0,19,True,False,{}
17-12-13.4249,29,0,20,True,False,{}
17-12-13.5033,27,0,21,True,False,{}
17-12-13.5523,22,0,22,True,False,{}
17-12-13.5835,21,0,23,True,False,{}
17-12-13.6263,23,0,24,True,False,{}
17-12-13.6573,23,0,25,True,False,{}
17-12-13.7060,24,0,26,True,False,{}
17-12-13.7337,23,0,27,True,False,{}
17-12-13.7785,25,0,28,True,False,{}
17-12-13.7995,24,0,29,True,False,{}
17-12-13.8428,27,0,30,True,False,{}
17-12-13.8629,26,0,31,True,False,{}
17-12-13.9005,29,0,32,True,False,{}
17-12-13.9271,28,0,33,True,False,{}
17-12-13.9708,29,0,34,True,False,{}
17-12-13.9887,28,0,35,True,False,{}
17-12-14.0378,30,0,36,True,False,{}
17-12-14.0578,28,0,37,True,False,{}
17-12-14.0991,30,0,38,True,False,{}
17-12-14.1227,29,0,39,True,False,{}
17-12-14.1756,31,0,40,True,False,{}
17-12-14.2169,27,0,41,True,False,{}
17-12-14.2671,26,0,42,True,False,{}
17-12-14.2926,25,0,43,True,False,{}
17-12-14.3472,26,0,44,True,False,{}
17-12-14.3706,24,0,45,True,False,{}
17-12-14.4175,27,0,46,True,False,{}
17-12-14.4369,25,0,47,True,False,{}
17-12-14.4799,28,0,48,True,False,{}
17-12-14.4999,27,0,49,True,False,{}
17-12-14.5426,30,0,50,True,False,{}
17-12-14.5661,28,0,51,True,False,{}
17-12-14.6130,30,0,52,True,False,{}
17-12-14.6315,28,0,53,True,False,{}
17-12-14.6723,30,0,54,True,False,{}
17-12-14.7006,29,0,55,True,False,{}
17-12-14.7352,30,0,56,True,False,{}
17-12-14.7609,30,0,57,True,False,{}
17-12-14.8039,31,0,58,True,False,{}
17-12-14.8233,29,0,59,True,False,{}
17-12-14.8583,32,0,60,True,False,{}
