TimeStamp,FPS,GT # Faces,# Faces,frame #,QRDetection Status,Hardcoded Eye Gaze,DetectedFaces Info
19-51-38.3589,37,0,0,104,TRUE,FALSE,{}
19-51-38.3770,37,0,0,105,TRUE,FALSE,{}
19-51-38.3952,39,0,0,106,TRUE,FALSE,{}
19-51-38.4159,41,0,0,107,TRUE,FALSE,{}
19-51-38.4491,43,0,0,108,TRUE,FALSE,{}
19-51-38.4700,39,0,0,109,TRUE,FALSE,{}
19-51-38.4850,41,0,0,110,TRUE,FALSE,{}
19-51-38.5055,44,0,0,111,TRUE,FALSE,{}
19-51-38.5414,45,0,0,112,TRUE,FALSE,{}
19-51-38.5589,40,0,0,113,TRUE,FALSE,{}
19-51-38.5772,42,0,0,114,TRUE,FALSE,{}
19-51-38.5972,44,0,0,115,TRUE,FALSE,{}
19-51-38.6297,45,0,0,116,TRUE,FALSE,{}
19-51-38.6502,41,0,0,117,TRUE,FALSE,{}
19-51-38.6691,42,0,0,118,TRUE,FALSE,{}
19-51-38.6843,44,0,0,119,TRUE,FALSE,{}
19-51-38.7215,47,0,0,120,TRUE,FALSE,{}
19-51-38.7701,40,0,0,121,TRUE,FALSE,{}
19-51-38.7854,34,0,0,122,TRUE,FALSE,{}
19-51-38.8165,37,0,0,123,TRUE,FALSE,{}
19-51-38.8636,36,0,0,124,TRUE,FALSE,{}
19-51-38.8842,32,0,0,125,TRUE,FALSE,{}
19-51-38.9097,34,0,0,126,TRUE,FALSE,{}
19-51-38.9303,35,0,0,127,TRUE,FALSE,{}
19-51-38.9683,37,0,0,128,TRUE,FALSE,{}
19-51-38.9868,34,0,0,129,TRUE,FALSE,{}
19-51-39.0101,36,0,0,130,TRUE,FALSE,{}
19-51-39.0248,38,0,0,131,TRUE,FALSE,{}
19-51-39.0617,41,0,0,132,TRUE,FALSE,{}
19-51-39.0839,36,0,0,133,TRUE,FALSE,{}
19-51-39.1054,39,0,0,134,TRUE,FALSE,{}
19-51-39.1191,41,0,0,135,TRUE,FALSE,{}
19-51-39.1559,44,0,0,136,TRUE,FALSE,{}
19-51-39.1761,39,0,0,137,TRUE,FALSE,{}
19-51-39.1917,41,0,0,138,TRUE,FALSE,{}
19-51-39.2068,44,0,0,139,TRUE,FALSE,{}
19-51-39.2477,47,0,0,140,TRUE,FALSE,{}
19-51-39.2888,39,0,0,141,TRUE,FALSE,{}
19-51-39.3098,35,0,0,142,TRUE,FALSE,{}
19-51-39.3255,37,0,0,143,TRUE,FALSE,{}
19-51-39.3662,40,0,0,144,TRUE,FALSE,{}
19-51-39.3873,35,0,0,145,TRUE,FALSE,{}
19-51-39.4105,37,0,0,146,TRUE,FALSE,{}
19-51-39.4316,38,0,0,147,TRUE,FALSE,{}
19-51-39.4694,39,0,0,148,TRUE,FALSE,{}
19-51-39.4881,36,0,0,149,TRUE,FALSE,{}
19-51-39.5094,39,0,0,150,TRUE,FALSE,{}
19-51-39.5253,40,0,0,151,TRUE,FALSE,{}
19-51-39.5571,43,0,0,152,TRUE,FALSE,{}
19-51-39.5766,40,0,0,153,TRUE,FALSE,{}
19-51-39.5980,42,0,0,154,TRUE,FALSE,{}
19-51-39.6135,43,0,0,155,TRUE,FALSE,{}
19-51-39.6487,46,0,0,156,TRUE,FALSE,{}
19-51-39.6679,41,0,0,157,TRUE,FALSE,{}
19-51-39.6829,42,0,0,158,TRUE,FALSE,{}
19-51-39.6993,46,0,0,159,TRUE,FALSE,{}
19-51-39.7458,48,0,0,160,TRUE,FALSE,{}
19-51-39.7864,38,0,0,161,TRUE,FALSE,{}
19-51-39.8063,34,0,0,162,TRUE,FALSE,{}
19-51-39.8260,37,0,0,163,TRUE,FALSE,{}
19-51-39.8652,39,0,0,164,TRUE,FALSE,{}
19-51-39.8862,35,0,0,165,TRUE,FALSE,{}
19-51-39.9097,36,0,0,166,TRUE,FALSE,{}
19-51-39.9299,38,0,0,167,TRUE,FALSE,{}
19-51-39.9622,40,0,0,168,TRUE,FALSE,{}
19-51-39.9827,37,0,0,169,TRUE,FALSE,{}
19-51-40.0047,39,0,0,170,TRUE,FALSE,{}
19-51-40.0197,40,0,0,171,TRUE,FALSE,{}
19-51-40.0518,44,0,0,172,TRUE,FALSE,{}
19-51-40.0709,40,0,0,173,TRUE,FALSE,{}
19-51-40.0854,42,0,0,174,TRUE,FALSE,{}
19-51-40.1041,45,0,0,175,TRUE,FALSE,{}
19-51-40.1397,47,0,0,176,TRUE,FALSE,{}
19-51-40.1575,41,0,0,177,TRUE,FALSE,{}
19-51-40.1790,43,0,0,178,TRUE,FALSE,{}
19-51-40.1931,44,0,0,179,TRUE,FALSE,{}
19-51-40.2320,47,0,0,180,TRUE,FALSE,{}
19-51-40.2729,40,0,0,181,TRUE,FALSE,{}
