TimeStamp, FPS, # Faces, frame #, QRDetection Status, Hardcoded Eye Gaze, DetectedFaces Info
17-09-49.6545,71,0,0,True,False,{}
17-09-49.9620,71,0,1,True,False,{}
17-09-50.0475,66,0,2,True,False,{}
17-09-50.0807,13,0,3,True,False,{}
17-09-50.1537,19,0,4,True,False,{}
17-09-50.1763,16,0,5,True,False,{}
17-09-50.1951,21,0,6,True,False,{}
17-09-50.2285,25,0,7,True,False,{}
17-09-50.2764,26,0,8,True,False,{}
17-09-50.2984,25,0,9,True,False,{}
17-09-50.3430,27,0,10,True,False,{}
17-09-50.3691,26,0,11,True,False,{}
17-09-50.4280,27,0,12,True,False,{}
17-09-50.4552,24,0,13,True,False,{}
17-09-50.4827,26,0,14,True,False,{}
17-09-50.5138,28,0,15,True,False,{}
17-09-50.5597,29,0,16,True,False,{}
17-09-50.5802,27,0,17,True,False,{}
17-09-50.6009,29,0,18,True,False,{}
17-09-50.6142,32,0,19,True,False,{}
17-09-50.6537,35,0,20,True,False,{}
17-09-50.7003,34,0,21,True,False,{}
17-09-50.7233,30,0,22,True,False,{}
17-09-50.7489,32,0,23,True,False,{}
17-09-50.7861,33,0,24,True,False,{}
17-09-50.8108,31,0,25,True,False,{}
17-09-50.8412,32,0,26,True,False,{}
17-09-50.8666,33,0,27,True,False,{}
17-09-50.9184,33,0,28,True,False,{}
17-09-50.9404,29,0,29,True,False,{}
17-09-50.9647,32,0,30,True,False,{}
17-09-50.9866,33,0,31,True,False,{}
17-09-51.0202,35,0,32,True,False,{}
17-09-51.0408,34,0,33,True,False,{}
17-09-51.0626,36,0,34,True,False,{}
17-09-51.0785,37,0,35,True,False,{}
17-09-51.1155,41,0,36,True,False,{}
17-09-51.1356,37,0,37,True,False,{}
17-09-51.1519,39,0,38,True,False,{}
17-09-51.1679,42,0,39,True,False,{}
17-09-51.2035,45,0,40,True,False,{}
17-09-51.2470,40,0,41,True,False,{}
17-09-51.2668,35,0,42,True,False,{}
17-09-51.2946,37,0,43,True,False,{}
17-09-51.3263,36,0,44,True,False,{}
17-09-51.3458,35,0,45,True,False,{}
17-09-51.3615,38,0,46,True,False,{}
17-09-51.3815,40,0,47,True,False,{}
17-09-51.4135,43,0,48,True,False,{}
17-09-51.4346,40,0,49,True,False,{}
17-09-51.4490,41,0,50,True,False,{}
17-09-51.4681,44,0,51,True,False,{}
17-09-51.5005,45,0,52,True,False,{}
17-09-51.5208,42,0,53,True,False,{}
17-09-51.5378,42,0,54,True,False,{}
17-09-51.5587,45,0,55,True,False,{}
17-09-51.5870,45,0,56,True,False,{}
17-09-51.6051,43,0,57,True,False,{}
17-09-51.6205,45,0,58,True,False,{}
17-09-51.6426,48,0,59,True,False,{}
17-09-51.6745,47,0,60,True,False,{}
17-09-51.7232,43,0,61,True,False,{}
17-09-51.7373,35,0,62,True,False,{}
17-09-51.7668,38,0,63,True,False,{}
17-09-51.7953,38,0,64,True,False,{}
17-09-51.8140,37,0,65,True,False,{}
17-09-51.8337,39,0,66,True,False,{}
17-09-51.8534,41,0,67,True,False,{}
17-09-51.8832,43,0,68,True,False,{}
17-09-51.9114,41,0,69,True,False,{}
17-09-51.9306,39,0,70,True,False,{}
17-09-51.9438,41,0,71,True,False,{}
17-09-51.9780,45,0,72,True,False,{}
17-09-51.9915,41,0,73,True,False,{}
17-09-52.0154,42,0,74,True,False,{}
17-09-52.0291,44,0,75,True,False,{}
17-09-52.0629,47,0,76,True,False,{}
17-09-52.0759,43,0,77,True,False,{}
17-09-52.0953,47,0,78,True,False,{}
17-09-52.1089,48,0,79,True,False,{}
17-09-52.1438,51,0,80,True,False,{}
17-09-52.2489,44,0,81,True,False,{}
17-09-52.2664,25,0,82,True,False,{}
17-09-52.2835,28,0,83,True,False,{}
17-09-52.3273,31,0,84,True,False,{}
17-09-52.3559,29,0,85,True,False,{}
17-09-52.3869,30,0,86,True,False,{}
17-09-52.4026,30,0,87,True,False,{}
17-09-52.4311,34,0,88,True,False,{}
17-09-52.4523,34,0,89,True,False,{}
17-09-52.4745,36,0,90,True,False,{}
17-09-52.4871,38,0,91,True,False,{}
17-09-52.5134,42,0,92,True,False,{}
17-09-52.5342,41,0,93,True,False,{}
17-09-52.5525,42,0,94,True,False,{}
17-09-52.5655,44,0,95,True,False,{}
17-09-52.5921,48,0,96,True,False,{}
17-09-52.6120,45,0,97,True,False,{}
17-09-52.6267,46,0,98,True,False,{}
17-09-52.6465,50,0,99,True,False,{}
17-09-52.6765,49,0,100,True,False,{}
17-09-52.7145,45,0,101,True,False,{}
17-09-52.7311,39,0,102,True,False,{}
17-09-52.7489,43,0,103,True,False,{}
17-09-52.7829,44,0,104,True,False,{}
17-09-52.8015,40,0,105,True,False,{}
17-09-52.8195,42,0,106,True,False,{}
17-09-52.8346,44,0,107,True,False,{}
17-09-52.8696,47,0,108,True,False,{}
17-09-52.8814,42,0,109,True,False,{}
17-09-52.8989,47,0,110,True,False,{}
17-09-52.9108,49,0,111,True,False,{}
17-09-52.9431,53,0,112,True,False,{}
17-09-52.9551,46,0,113,True,False,{}
17-09-52.9752,51,0,114,True,False,{}
17-09-52.9877,50,0,115,True,False,{}
17-09-53.0201,53,0,116,True,False,{}
17-09-53.0343,47,0,117,True,False,{}
17-09-53.0479,51,0,118,True,False,{}
17-09-53.0660,54,0,119,True,False,{}
17-09-53.0971,54,0,120,True,False,{}
17-09-53.1368,47,0,121,True,False,{}
17-09-53.1510,40,0,122,True,False,{}
17-09-53.1672,44,0,123,True,False,{}
17-09-53.2006,46,0,124,True,False,{}
17-09-53.2138,42,0,125,True,False,{}
17-09-53.2327,46,0,126,True,False,{}
17-09-53.2450,47,0,127,True,False,{}
17-09-53.2788,51,0,128,True,False,{}
17-09-53.2915,45,0,129,True,False,{}
17-09-53.3124,48,0,130,True,False,{}
17-09-53.3262,49,0,131,True,False,{}
17-09-53.3533,52,0,132,True,False,{}
17-09-53.3708,48,0,133,True,False,{}
17-09-53.3919,49,0,134,True,False,{}
17-09-53.4066,49,0,135,True,False,{}
17-09-53.4394,51,0,136,True,False,{}
17-09-53.4536,45,0,137,True,False,{}
17-09-53.4725,49,0,138,True,False,{}
17-09-53.4866,50,0,139,True,False,{}
17-09-53.5165,52,0,140,True,False,{}
17-09-53.5513,47,0,141,True,False,{}
17-09-53.5685,41,0,142,True,False,{}
17-09-53.5832,45,0,143,True,False,{}
17-09-53.6182,47,0,144,True,False,{}
17-09-53.6318,42,0,145,True,False,{}
17-09-53.6506,45,0,146,True,False,{}
17-09-53.6646,47,0,147,True,False,{}
17-09-53.7075,50,0,148,True,False,{}
17-09-53.7297,41,0,149,True,False,{}
17-09-53.7502,40,0,150,True,False,{}
17-09-53.7707,43,0,151,True,False,{}
17-09-53.8004,44,0,152,True,False,{}
17-09-53.8217,41,0,153,True,False,{}
17-09-53.8412,42,0,154,True,False,{}
17-09-53.8549,44,0,155,True,False,{}
17-09-53.8844,47,0,156,True,False,{}
17-09-53.9037,44,0,157,True,False,{}
17-09-53.9180,45,0,158,True,False,{}
17-09-53.9416,46,0,159,True,False,{}
17-09-53.9729,47,0,160,True,False,{}
17-09-54.0167,43,0,161,True,False,{}
17-09-54.0337,36,0,162,True,False,{}
17-09-54.0583,39,0,163,True,False,{}
17-09-54.0873,39,0,164,True,False,{}
17-09-54.1064,38,0,165,True,False,{}
17-09-54.1253,40,0,166,True,False,{}
17-09-54.1453,43,0,167,True,False,{}
17-09-54.1778,44,0,168,True,False,{}
17-09-54.1972,41,0,169,True,False,{}
17-09-54.2107,42,0,170,True,False,{}
17-09-54.2279,46,0,171,True,False,{}
17-09-54.2594,46,0,172,True,False,{}
17-09-54.2820,42,0,173,True,False,{}
17-09-54.2948,44,0,174,True,False,{}
17-09-54.3118,48,0,175,True,False,{}
17-09-54.3405,50,0,176,True,False,{}
17-09-54.3566,46,0,177,True,False,{}
17-09-54.3698,48,0,178,True,False,{}
17-09-54.3812,53,0,179,True,False,{}
17-09-54.4116,57,0,180,True,False,{}
17-09-54.4438,49,0,181,True,False,{}
17-09-54.4566,44,0,182,True,False,{}
17-09-54.4739,48,0,183,True,False,{}
17-09-54.5016,49,0,184,True,False,{}
17-09-54.5197,46,0,185,True,False,{}
17-09-54.5335,48,0,186,True,False,{}
17-09-54.5465,51,0,187,True,False,{}
17-09-54.5766,55,0,188,True,False,{}
17-09-54.5930,49,0,189,True,False,{}
17-09-54.6066,50,0,190,True,False,{}
17-09-54.6178,54,0,191,True,False,{}
17-09-54.6438,58,0,192,True,False,{}
17-09-54.6604,53,0,193,True,False,{}
17-09-54.6796,53,0,194,True,False,{}
17-09-54.6907,54,0,195,True,False,{}
17-09-54.7159,58,0,196,True,False,{}
17-09-54.7317,53,0,197,True,False,{}
17-09-54.7462,54,0,198,True,False,{}
17-09-54.7623,57,0,199,True,False,{}
17-09-54.7906,58,0,200,True,False,{}
17-09-54.8254,52,0,201,True,False,{}
17-09-54.8427,44,0,202,True,False,{}
17-09-54.8539,47,0,203,True,False,{}
17-09-54.8823,51,0,204,True,False,{}
17-09-54.8989,47,0,205,True,False,{}
17-09-54.9133,49,0,206,True,False,{}
17-09-54.9322,52,0,207,True,False,{}
17-09-54.9594,52,0,208,True,False,{}
17-09-54.9769,48,0,209,True,False,{}
17-09-54.9904,49,0,210,True,False,{}
17-09-55.0022,53,0,211,True,False,{}
17-09-55.0319,57,0,212,True,False,{}
17-09-55.0430,50,0,213,True,False,{}
17-09-55.0618,55,0,214,True,False,{}
17-09-55.0736,54,0,215,True,False,{}
17-09-55.0990,58,0,216,True,False,{}
17-09-55.1149,54,0,217,True,False,{}
17-09-55.1293,55,0,218,True,False,{}
17-09-55.1459,57,0,219,True,False,{}
17-09-55.1734,58,0,220,True,False,{}
17-09-55.2051,51,0,221,True,False,{}
17-09-55.2183,46,0,222,True,False,{}
17-09-55.2347,49,0,223,True,False,{}
17-09-55.2603,52,0,224,True,False,{}
17-09-55.2756,48,0,225,True,False,{}
17-09-55.2881,51,0,226,True,False,{}
