TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--19-33-28,0,18,6,3611,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.993"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.34"|"faces":[]}
2026-12-2--19-33-28,0,19,6,3811,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.024"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"118.437"|"faces":[]}
2026-12-2--19-33-28,0,20,6,4009,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"131.952"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"138.5"|"faces":[]}
2026-12-2--19-33-28,0,21,6,4209,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"138.126"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"143.707"|"faces":[]}
2026-12-2--19-33-28,0,22,6,4409,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"135.089"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"140.912"|"faces":[]}
2026-12-2--19-33-28,0,23,6,4613,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"120.717"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"128.211"|"faces":[]}
2026-12-2--19-33-28,0,24,6,4813,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"122.795"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.777"|"faces":[]}
2026-12-2--19-33-28,0,25,6,5012,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"125.906"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"132.25"|"faces":[]}
2026-12-2--19-33-28,0,26,6,5212,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"123.539"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"131.286"|"faces":[]}
2026-12-2--19-33-28,0,27,6,5416,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"118.477"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"124.748"|"faces":[]}
2026-12-2--19-33-28,0,28,6,5616,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"122.029"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.069"|"faces":[]}
2026-12-2--19-33-28,0,29,6,5815,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.15"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.884"|"faces":[]}
2026-12-2--19-33-28,0,30,6,6019,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"139.592"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"145.359"|"faces":[]}
2026-12-2--19-33-28,0,31,6,6223,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"114.577"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"121.562"|"faces":[]}
2026-12-2--19-33-28,0,32,6,6423,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"119.603"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"123.629"|"faces":[]}
2026-12-2--19-33-28,0,33,6,6623,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.632"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.437"|"faces":[]}
2026-12-2--19-33-28,0,34,6,6823,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"133.064"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"136.527"|"faces":[]}
2026-12-2--19-33-28,0,35,6,7023,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"136.208"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"139.542"|"faces":[]}
2026-12-2--19-33-28,0,36,6,7223,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"122.791"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"126.369"|"faces":[]}
2026-12-2--19-33-28,0,37,6,7423,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"122.294"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.999"|"faces":[]}
2026-12-2--19-33-28,0,38,6,7623,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"126.673"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.214"|"faces":[]}
2026-12-2--19-33-28,0,39,6,7822,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"142.885"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"146.75"|"faces":[]}
2026-12-2--19-33-28,0,40,5,8022,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"121.883"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"125.651"|"faces":[]}
2026-12-2--19-33-28,0,41,6,8222,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.948"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"114.814"|"faces":[]}
2026-12-2--19-33-28,0,42,6,8421,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"117.089"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"123.34"|"faces":[]}
