TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-42-53,0,1,72,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-42-53,0,2,72,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-42-53,0,3,66,584,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"142.416"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"157.365"|"faces":[]}
2026-12-2--13-42-53,0,4,3,784,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.183"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"113.421"|"faces":[]}
2026-12-2--13-42-53,0,5,3,1399,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.483"|"ms_palm":"58.744"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"176.676"|"faces":[{"id":"1"|"bbox":"(952.046|321.43|70.72|86.832)"|"c":"(987.406|364.846)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(831.67|360.292|56.869|75.714)"|"c":"(860.105|398.149)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-42-53,0,6,3,2011,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.41"|"ms_palm":"34.801"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"148.891"|"faces":[{"id":"1"|"bbox":"(953.78|321.629|69.555|85.797)"|"c":"(988.558|364.527)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(832.845|359.642|54.884|73.551)"|"c":"(860.287|396.418)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-42-53,0,7,4,2621,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"101.05"|"ms_palm":"32.18"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"137.536"|"faces":[{"id":"1"|"bbox":"(953.243|322.233|68.912|84.646)"|"c":"(987.698|364.556)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(831.085|358.75|57.668|77.039)"|"c":"(859.919|397.27)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-42-53,0,8,4,3232,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.192"|"ms_palm":"28.22"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"143.265"|"faces":[{"id":"1"|"bbox":"(949.438|319.893|70.689|85.635)"|"c":"(984.782|362.71)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(829.886|357.351|57.548|77.574)"|"c":"(858.66|396.138)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-42-53,0,9,4,3843,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"95.549"|"ms_palm":"28.328"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"128.848"|"faces":[{"id":"1"|"bbox":"(950.971|321.124|70.341|83.39)"|"c":"(986.141|362.819)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(831.769|358.379|56.33|75.611)"|"c":"(859.934|396.184)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-42-53,0,10,5,4461,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"106.486"|"ms_palm":"27.646"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"138.927"|"faces":[{"id":"1"|"bbox":"(949.712|321.883|71.094|83.559)"|"c":"(985.259|363.662)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(829.487|357.474|57.063|75.565)"|"c":"(858.018|395.256)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
