TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-44-15,0,1,72,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-44-15,0,2,72,384,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-44-15,0,3,66,583,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"144.14"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"160.588"|"faces":[]}
2026-12-2--13-44-15,0,4,3,781,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.75"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.646"|"faces":[]}
2026-12-2--13-44-15,0,5,3,1399,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.144"|"ms_palm":"49.541"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"165.067"|"faces":[{"id":"1"|"bbox":"(949.338|381.114|70.133|82.915)"|"c":"(984.404|422.571)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.194|415.846|57.164|74.797)"|"c":"(851.776|453.245)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,6,3,2015,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"111.439"|"ms_palm":"35.486"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"164.49"|"faces":[{"id":"1"|"bbox":"(949.066|376.639|70.15|86.056)"|"c":"(984.141|419.667)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.737|416.316|58.374|72.306)"|"c":"(852.924|452.469)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,7,4,2627,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"115.633"|"ms_palm":"27.523"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"148.717"|"faces":[{"id":"1"|"bbox":"(949.356|377.583|69.307|86.028)"|"c":"(984.01|420.597)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.244|416.673|58.34|73.881)"|"c":"(852.414|453.614)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,8,4,3234,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.917"|"ms_palm":"26.32"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"124.539"|"faces":[{"id":"1"|"bbox":"(949|377.427|70.376|86.165)"|"c":"(984.188|420.509)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.401|417.125|58.818|74.221)"|"c":"(852.81|454.235)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,9,4,3844,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.368"|"ms_palm":"29.74"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"127.574"|"faces":[{"id":"1"|"bbox":"(949.062|379.878|69.216|84.353)"|"c":"(983.67|422.055)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(820.879|415.782|60.847|74.11)"|"c":"(851.303|452.837)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,10,5,4452,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"104.29"|"ms_palm":"26.245"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"135.971"|"faces":[{"id":"1"|"bbox":"(949.093|377.234|69.884|85.769)"|"c":"(984.035|420.118)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.956|416|58.271|73.119)"|"c":"(853.091|452.56)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,11,5,5062,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.804"|"ms_palm":"27.519"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"138.61"|"faces":[{"id":"1"|"bbox":"(947.52|380.867|70.403|83.409)"|"c":"(982.722|422.572)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(820.529|416.743|60.91|74.537)"|"c":"(850.984|454.012)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,12,5,5679,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.223"|"ms_palm":"28.631"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"136.836"|"faces":[{"id":"1"|"bbox":"(948.07|380.625|69.492|83.568)"|"c":"(982.816|422.409)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(821.648|417.098|59.213|76.215)"|"c":"(851.254|455.205)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,13,5,6291,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"98.091"|"ms_palm":"28.137"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.867"|"faces":[{"id":"1"|"bbox":"(949.272|379.178|68.91|84.321)"|"c":"(983.727|421.338)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(822.515|418.635|59.271|72.849)"|"c":"(852.151|455.059)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,14,5,6898,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.1"|"ms_palm":"28.703"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"122.403"|"faces":[{"id":"1"|"bbox":"(948.73|381.416|69.981|83.608)"|"c":"(983.72|423.22)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(822.283|417.775|59.353|73.536)"|"c":"(851.96|454.543)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,15,5,7511,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.973"|"ms_palm":"30.044"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"144.857"|"faces":[{"id":"1"|"bbox":"(949.842|379.022|68.601|83.343)"|"c":"(984.143|420.693)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.676|417.62|58.693|73.748)"|"c":"(853.022|454.494)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,16,5,8124,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.858"|"ms_palm":"27.297"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"121.429"|"faces":[{"id":"1"|"bbox":"(947.834|378.878|68.976|83.354)"|"c":"(982.322|420.555)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(821.656|417.527|58.951|72.685)"|"c":"(851.131|453.869)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,17,5,8740,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"112.318"|"ms_palm":"29.082"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"147.914"|"faces":[{"id":"1"|"bbox":"(947.198|383.531|70.404|83.185)"|"c":"(982.4|425.123)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.697|418.628|56.713|73.761)"|"c":"(852.053|455.509)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,18,5,9352,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"91.681"|"ms_palm":"33.697"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.703"|"faces":[{"id":"1"|"bbox":"(947.103|383.523|71.578|84.321)"|"c":"(982.892|425.683)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.758|418.551|57.215|75.378)"|"c":"(852.365|456.24)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,19,5,9969,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.974"|"ms_palm":"29.525"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"145.55"|"faces":[{"id":"1"|"bbox":"(947.917|384.263|70.143|82.725)"|"c":"(982.989|425.626)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(824.034|418.911|56.934|75.353)"|"c":"(852.501|456.588)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,20,5,10584,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.113"|"ms_palm":"27.755"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"125.887"|"faces":[{"id":"1"|"bbox":"(948.776|381.462|70.397|85.837)"|"c":"(983.974|424.38)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(822.445|418.697|59.614|76.545)"|"c":"(852.252|456.97)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,21,5,11198,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.65"|"ms_palm":"26.379"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"143.004"|"faces":[{"id":"1"|"bbox":"(949.708|383.27|71.431|83.719)"|"c":"(985.424|425.13)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(822.75|418.822|59.856|75.746)"|"c":"(852.678|456.695)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,22,5,11812,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.495"|"ms_palm":"29.06"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"122.444"|"faces":[{"id":"1"|"bbox":"(949.918|383.258|71.426|84.349)"|"c":"(985.63|425.433)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.462|418.986|59.679|75.708)"|"c":"(853.302|456.84)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,23,5,12425,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"109.023"|"ms_palm":"27.257"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.185"|"faces":[{"id":"1"|"bbox":"(950.583|384.257|67.909|82.517)"|"c":"(984.538|425.515)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(823.529|418.356|58.917|75.13)"|"c":"(852.988|455.921)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,24,5,13036,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.156"|"ms_palm":"34.889"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"130.472"|"faces":[{"id":"1"|"bbox":"(949.75|381.101|72.78|85.309)"|"c":"(986.139|423.755)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(827.542|419.188|57.161|73.297)"|"c":"(856.123|455.837)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,25,5,13648,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.844"|"ms_palm":"28.47"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.743"|"faces":[{"id":"1"|"bbox":"(958.01|376.377|71.525|86.493)"|"c":"(993.772|419.623)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(831.855|415.956|57.802|72.796)"|"c":"(860.755|452.354)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,26,5,14264,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"87.872"|"ms_palm":"34.98"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"129.818"|"faces":[{"id":"1"|"bbox":"(957.226|371.623|70.952|84.988)"|"c":"(992.702|414.117)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(832.094|409.132|58.091|75.901)"|"c":"(861.139|447.082)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-44-15,0,27,5,14874,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.894"|"ms_palm":"27.86"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.252"|"faces":[{"id":"1"|"bbox":"(955.277|369.964|70.905|87.916)"|"c":"(990.729|413.922)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(829.597|407.8|58.634|75.59)"|"c":"(858.914|445.595)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
