TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-39-00,0,1,72,192,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0.001"|"faces":[]}
2026-12-2--13-39-00,0,2,72,380,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"0"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"0"|"faces":[]}
2026-12-2--13-39-00,0,3,66,580,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"128.957"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"142.023"|"faces":[]}
2026-12-2--13-39-00,0,4,3,780,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"114.299"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"118.573"|"faces":[]}
2026-12-2--13-39-00,0,5,3,976,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"93.2"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"99.501"|"faces":[]}
2026-12-2--13-39-00,0,6,3,1174,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"92.613"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"96.424"|"faces":[]}
2026-12-2--13-39-00,0,7,3,1583,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.724"|"ms_palm":"53.902"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"168.44"|"faces":[{"id":"1"|"bbox":"(1121.76|546.644|102.059|143.073)"|"c":"(1172.79|618.18)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-39-00,0,8,3,2199,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"1"|"pairs_total":"0"|"ms_face":"107.798"|"ms_palm":"28.284"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"141.8"|"faces":[{"id":"1"|"bbox":"(1121.76|546.644|102.059|143.073)"|"c":"(1172.79|618.18)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(1088.053|386.216|100.514|133.537)"|"c":"(1138.31|452.984)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-39-00,0,9,3,2821,True,False,{"t_ms":"0"|"faces_total":"2"|"faces_active":"2"|"faces_invalid":"0"|"palms_total":"1"|"pairs_total":"0"|"ms_face":"105.245"|"ms_palm":"30.873"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"141.594"|"faces":[{"id":"1"|"bbox":"(1121.76|546.644|102.059|143.073)"|"c":"(1172.79|618.18)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}|{"id":"2"|"bbox":"(1086.069|339.073|103.582|136.399)"|"c":"(1137.86|407.273)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
2026-12-2--13-39-00,0,10,3,3236,True,False,{"t_ms":"0"|"faces_total":"1"|"faces_active":"1"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.216"|"ms_palm":"26.92"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"130.638"|"faces":[{"id":"2"|"bbox":"(1073.531|326.545|102.404|138.954)"|"c":"(1124.733|396.022)"|"active":"1"|"obf":"0"|"palm":"-1"|"g":"None"|"stable":"0"|"stableCnt":"0"|"stableReq":"2"|"toggle":"none"|"why":"noPalmMatched"}]}
