TimeStamp, ElapsedTime, frame #, FPS, logSize, QRDetection Status, isReplayed, PETOutputs
2026-12-2--13-34-20,0,18,3,3575,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"100.403"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"104.075"|"faces":[]}
2026-12-2--13-34-20,0,19,3,3779,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.324"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0.001"|"ms_total":"113.687"|"faces":[]}
2026-12-2--13-34-20,0,20,3,3978,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"99.599"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"103.952"|"faces":[]}
2026-12-2--13-34-20,0,21,3,4178,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"103.083"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"109.034"|"faces":[]}
2026-12-2--13-34-20,0,22,3,4376,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.389"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"92.789"|"faces":[]}
2026-12-2--13-34-20,0,23,3,4575,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"108.307"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.71"|"faces":[]}
2026-12-2--13-34-20,0,24,3,4773,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"90.195"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"95.711"|"faces":[]}
2026-12-2--13-34-20,0,25,3,4973,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"107.269"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"111.609"|"faces":[]}
2026-12-2--13-34-20,0,26,3,5171,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"88.579"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"93.646"|"faces":[]}
2026-12-2--13-34-20,0,27,3,5371,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"110.385"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"113.666"|"faces":[]}
2026-12-2--13-34-20,0,28,3,5569,True,False,{"t_ms":"0"|"faces_total":"0"|"faces_active":"0"|"faces_invalid":"0"|"palms_total":"0"|"pairs_total":"0"|"ms_face":"89.006"|"ms_palm":"0"|"ms_pose":"0"|"ms_blur":"0"|"ms_total":"94.518"|"faces":[]}
